timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:24:41+08:00,worker-4,1.0,700,4.4
2025-12-25T23:24:49+08:00,master,2.3,2169,13.6
2025-12-25T23:24:49+08:00,worker-1,2.4,597,7.6
2025-12-25T23:24:49+08:00,worker-2,0.0,872,11.1
2025-12-25T23:24:49+08:00,worker-3,0.0,634,4.0
2025-12-25T23:24:49+08:00,worker-4,1.0,696,4.4
2025-12-25T23:24:56+08:00,master,2.3,2178,13.7
2025-12-25T23:24:56+08:00,worker-1,2.3,621,7.9
2025-12-25T23:24:56+08:00,worker-2,0.0,900,11.4
2025-12-25T23:24:56+08:00,worker-3,1.1,642,4.0
2025-12-25T23:24:56+08:00,worker-4,1.0,702,4.4
2025-12-25T23:25:04+08:00,master,0.0,2183,13.7
2025-12-25T23:25:04+08:00,worker-1,0.0,610,7.8
2025-12-25T23:25:04+08:00,worker-2,1.1,880,11.2
2025-12-25T23:25:04+08:00,worker-3,1.1,674,4.2
2025-12-25T23:25:04+08:00,worker-4,1.1,730,4.6
2025-12-25T23:25:12+08:00,master,0.0,2184,13.7
2025-12-25T23:25:12+08:00,worker-1,2.4,603,7.7
2025-12-25T23:25:12+08:00,worker-2,0.0,877,11.1
2025-12-25T23:25:12+08:00,worker-3,1.1,653,4.1
2025-12-25T23:25:12+08:00,worker-4,1.0,713,4.5
2025-12-25T23:25:20+08:00,master,0.0,2185,13.7
2025-12-25T23:25:20+08:00,worker-1,2.3,606,7.7
2025-12-25T23:25:20+08:00,worker-2,0.0,879,11.1
2025-12-25T23:25:20+08:00,worker-3,2.2,652,4.1
2025-12-25T23:25:20+08:00,worker-4,2.0,711,4.5
2025-12-25T23:25:27+08:00,master,1.1,2190,13.7
2025-12-25T23:25:27+08:00,worker-1,0.0,609,7.8
2025-12-25T23:25:27+08:00,worker-2,1.2,876,11.1
2025-12-25T23:25:27+08:00,worker-3,1.1,642,4.0
2025-12-25T23:25:27+08:00,worker-4,2.0,712,4.5
2025-12-25T23:25:34+08:00,master,0.0,2190,13.7
2025-12-25T23:25:34+08:00,worker-1,0.0,604,7.7
2025-12-25T23:25:34+08:00,worker-2,0.0,880,11.2
2025-12-25T23:25:34+08:00,worker-3,1.1,644,4.0
2025-12-25T23:25:34+08:00,worker-4,1.0,716,4.5
2025-12-25T23:25:42+08:00,master,1.2,2187,13.7
2025-12-25T23:25:42+08:00,worker-1,0.0,602,7.7
2025-12-25T23:25:42+08:00,worker-2,0.0,870,11.0
2025-12-25T23:25:42+08:00,worker-3,1.1,638,4.0
2025-12-25T23:25:42+08:00,worker-4,1.0,716,4.5
2025-12-25T23:25:49+08:00,master,0.0,2167,13.6
2025-12-25T23:25:49+08:00,worker-1,2.3,602,7.7
2025-12-25T23:25:49+08:00,worker-2,1.2,873,11.1
2025-12-25T23:25:49+08:00,worker-3,0.0,644,4.0
2025-12-25T23:25:49+08:00,worker-4,1.0,716,4.5
2025-12-25T23:25:56+08:00,master,9.6,2184,13.7
2025-12-25T23:25:56+08:00,worker-1,0.0,598,7.6
2025-12-25T23:25:56+08:00,worker-2,0.0,867,11.0
